appearance_id,book_id,book_slug,title,authors,publication_year,award_id,award_program,award_category,award_year,status,original_status,is_tie,primary_subject,publisher,imprint,isbn13,source_url,source_confidence
appearance-the-man-in-the-rockefeller-suit-the-astonishing-rise-and-spectacular-fall-of-a-serial-imposter-m-edgar-awards-best-fact-crime-2012-finalist,book-the-man-in-the-rockefeller-suit-the-astonishing-rise-and-spectacular-fall-of-a-serial-imposter-m,the-man-in-the-rockefeller-suit-the-astonishing-rise-and-spectacular-fall-of-a-serial-imposter-m,The Man in the Rockefeller Suit: The Astonishing Rise and Spectacular Fall of a Serial Imposter,Mark Seal,,award-edgar-awards-best-fact-crime,Edgar Awards,Best Fact Crime,2012,finalist,finalist,false,True Crime & Justice,Penguin Group - Viking,,,https://edgarawards.com/category-list-best-fact-crime/?instance=1&listpage=1,official
appearance-the-murder-of-the-century-the-gilded-age-crime-that-scandalized-a-city-and-sparked-the-tabloid-w-edgar-awards-best-fact-crime-2012-finalist,book-the-murder-of-the-century-the-gilded-age-crime-that-scandalized-a-city-and-sparked-the-tabloid-w,the-murder-of-the-century-the-gilded-age-crime-that-scandalized-a-city-and-sparked-the-tabloid-w,The Murder of the Century: The Gilded Age Crime that Scandalized a City and Sparked the Tabloid Wars,Paul Collins,,award-edgar-awards-best-fact-crime,Edgar Awards,Best Fact Crime,2012,finalist,finalist,false,True Crime & Justice,Crown Publishing Group,,,https://edgarawards.com/category-list-best-fact-crime/?instance=1&listpage=1,official
appearance-the-savage-city-race-murder-and-a-generation-on-the-edge-t-j-english-edgar-awards-best-fact-crime-2012-finalist,book-the-savage-city-race-murder-and-a-generation-on-the-edge-t-j-english,the-savage-city-race-murder-and-a-generation-on-the-edge-t-j-english,"The Savage City: Race, Murder and a Generation on the Edge",T.J. English,,award-edgar-awards-best-fact-crime,Edgar Awards,Best Fact Crime,2012,finalist,finalist,false,True Crime & Justice,HarperCollins - William Morrow,,,https://edgarawards.com/category-list-best-fact-crime/?instance=1&listpage=1,official
appearance-how-to-survive-the-titanic-or-the-sinking-of-j-bruce-ismay-frances-wilson-elizabeth-longford-prize-for-historical-biography-2012-winner,book-how-to-survive-the-titanic-or-the-sinking-of-j-bruce-ismay-frances-wilson,how-to-survive-the-titanic-or-the-sinking-of-j-bruce-ismay-frances-wilson,How to Survive the Titanic or The Sinking of J. Bruce Ismay,Frances Wilson,2011,award-elizabeth-longford-prize-for-historical-biography,Elizabeth Longford Prize for Historical Biography,Historical Biography,2012,winner,winner,false,Biography,Bloomsbury Publishing,Bloomsbury,9781408821350,https://en.wikipedia.org/wiki/Elizabeth_Longford_Prize,secondary
appearance-railroaded-the-transcontinentals-and-the-making-of-modern-america-richard-white-francis-parkman-prize-2012-winner,book-railroaded-the-transcontinentals-and-the-making-of-modern-america-richard-white,railroaded-the-transcontinentals-and-the-making-of-modern-america-richard-white,Railroaded: The Transcontinentals and the Making of Modern America,Richard White,2011,award-francis-parkman-prize,Francis Parkman Prize,Francis Parkman Prize,2012,winner,winner,false,American History,W. W. Norton & Company,W. W. Norton,9781617935435,https://en.wikipedia.org/wiki/Francis_Parkman_Prize,secondary
appearance-black-gotham-a-family-history-of-americans-in-nineteenth-century-new-york-city-carla-l-peterson-frederick-douglass-book-prize-slavery-resistance-and-abolition-2012-finalist,book-black-gotham-a-family-history-of-americans-in-nineteenth-century-new-york-city-carla-l-peterson,black-gotham-a-family-history-of-americans-in-nineteenth-century-new-york-city-carla-l-peterson,Black Gotham: A Family History of Americans in Nineteenth-Century New York City,Carla L. Peterson,2011,award-frederick-douglass-book-prize-slavery-resistance-and-abolition,Frederick Douglass Book Prize,"Slavery, Resistance, and Abolition",2012,finalist,finalist,false,Race & Ethnicity,Yale University Press,Yale University Press,9780300162554,https://macmillan.yale.edu/glc/past-winners,official
appearance-domingos-alvares-african-healing-and-the-intellectual-history-of-the-atlantic-world-james-h-swee-frederick-douglass-book-prize-slavery-resistance-and-abolition-2012-winner,book-domingos-alvares-african-healing-and-the-intellectual-history-of-the-atlantic-world-james-h-swee,domingos-alvares-african-healing-and-the-intellectual-history-of-the-atlantic-world-james-h-swee,"Domingos Álvares, African Healing, and the Intellectual History of the Atlantic World",James H. Sweet,2011,award-frederick-douglass-book-prize-slavery-resistance-and-abolition,Frederick Douglass Book Prize,"Slavery, Resistance, and Abolition",2012,winner,winner,false,Biography,University of North Carolina Press,University of North Carolina Press,9780807878040,https://en.wikipedia.org/wiki/Frederick_Douglass_Book_Prize,secondary
appearance-john-brown-still-lives-america-s-long-reckoning-with-violence-equality-and-change-r-blakeslee-gi-frederick-douglass-book-prize-slavery-resistance-and-abolition-2012-finalist,book-john-brown-still-lives-america-s-long-reckoning-with-violence-equality-and-change-r-blakeslee-gi,john-brown-still-lives-america-s-long-reckoning-with-violence-equality-and-change-r-blakeslee-gi,"John Brown Still Lives: America’s Long Reckoning with Violence, Equality, and Change",R. Blakeslee Gilpin,2011,award-frederick-douglass-book-prize-slavery-resistance-and-abolition,Frederick Douglass Book Prize,"Slavery, Resistance, and Abolition",2012,finalist,finalist,false,History,University of North Carolina Press,University of North Carolina Press,9780807869277,https://macmillan.yale.edu/glc/past-winners,official
appearance-the-american-crucible-slavery-emancipation-and-human-rights-robin-blackburn-frederick-douglass-book-prize-slavery-resistance-and-abolition-2012-finalist,book-the-american-crucible-slavery-emancipation-and-human-rights-robin-blackburn,the-american-crucible-slavery-emancipation-and-human-rights-robin-blackburn,"The American Crucible: Slavery, Emancipation and Human Rights",Robin Blackburn,2013,award-frederick-douglass-book-prize-slavery-resistance-and-abolition,Frederick Douglass Book Prize,"Slavery, Resistance, and Abolition",2012,finalist,finalist,false,American History,,,,https://macmillan.yale.edu/glc/past-winners,official
appearance-private-empire-exxonmobil-and-american-power-steve-coll-ft-business-book-of-the-year-2012-winner,book-private-empire-exxonmobil-and-american-power-steve-coll,private-empire-exxonmobil-and-american-power-steve-coll,Private Empire: ExxonMobil and American Power,Steve Coll,2012,award-ft-business-book-of-the-year,FT Business Book of the Year,Business Book of the Year,2012,winner,winner,false,Business & Economics,Penguin Random House,Allen Lane,9781846146596,https://en.wikipedia.org/wiki/Financial_Times_Business_Book_of_the_Year_Award,secondary
appearance-steve-jobs-the-exclusive-biography-walter-isaacson-ft-business-book-of-the-year-2012-shortlist,book-steve-jobs-the-exclusive-biography-walter-isaacson,steve-jobs-the-exclusive-biography-walter-isaacson,Steve Jobs: The Exclusive Biography,Walter Isaacson,2011,award-ft-business-book-of-the-year,FT Business Book of the Year,Business Book of the Year,2012,shortlist,shortlist,false,Biography,,,9788499921181,https://en.wikipedia.org/wiki/Financial_Times_Business_Book_of_the_Year_Award,secondary
appearance-the-hour-between-dog-and-wolf-risk-taking-gut-feelings-and-the-biology-of-boom-and-bust-john-m-c-ft-business-book-of-the-year-2012-shortlist,book-the-hour-between-dog-and-wolf-risk-taking-gut-feelings-and-the-biology-of-boom-and-bust-john-m-c,the-hour-between-dog-and-wolf-risk-taking-gut-feelings-and-the-biology-of-boom-and-bust-john-m-c,"The Hour Between Dog and Wolf: Risk-taking, Gut Feelings and the Biology of Boom and Bust",John M. Coates,2012,award-ft-business-book-of-the-year,FT Business Book of the Year,Business Book of the Year,2012,shortlist,shortlist,false,Science,Penguin Random House Canada,Random House Canada,9780307359674,https://en.wikipedia.org/wiki/Financial_Times_Business_Book_of_the_Year_Award,secondary
