appearance_id,book_id,book_slug,title,authors,publication_year,award_id,award_program,award_category,award_year,status,original_status,is_tie,primary_subject,publisher,imprint,isbn13,source_url,source_confidence
appearance-julia-ward-howe-laura-e-richards-and-maud-howe-elliott-assisted-by-florence-howe-hall-pulitzer-prize-in-biography-or-autobiography-1917-finalist,book-julia-ward-howe-laura-e-richards-and-maud-howe-elliott-assisted-by-florence-howe-hall,julia-ward-howe-laura-e-richards-and-maud-howe-elliott-assisted-by-florence-howe-hall,Julia Ward Howe,"Laura E. Richards; Maud Howe Elliott, assisted by Florence Howe Hall",,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1917,finalist,finalist,false,Biography,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-with-americans-of-past-and-present-days-jean-jules-jusserand-pulitzer-prize-in-history-1917-finalist,book-with-americans-of-past-and-present-days-jean-jules-jusserand,with-americans-of-past-and-present-days-jean-jules-jusserand,With Americans of Past and Present Days,Jean Jules Jusserand,,award-pulitzer-prize-in-history,Pulitzer Prize,History,1917,finalist,finalist,false,American History,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-benjamin-franklin-self-revealed-william-cabell-bruce-pulitzer-prize-in-biography-or-autobiography-1918-finalist,book-benjamin-franklin-self-revealed-william-cabell-bruce,benjamin-franklin-self-revealed-william-cabell-bruce,"Benjamin Franklin, Self-Revealed",William Cabell Bruce,,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1918,finalist,finalist,false,Biography,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-a-history-of-the-civil-war-1861-1865-james-ford-rhodes-pulitzer-prize-in-history-1918-finalist,book-a-history-of-the-civil-war-1861-1865-james-ford-rhodes,a-history-of-the-civil-war-1861-1865-james-ford-rhodes,"A History of the Civil War, 1861-1865",James Ford Rhodes,,award-pulitzer-prize-in-history,Pulitzer Prize,History,1918,finalist,finalist,false,American History,,,9781409961079,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-samuel-butler-author-of-erewhon-1835-1902-a-memoir-h-festing-jones-james-tait-black-prizes-biography-1919-winner,book-samuel-butler-author-of-erewhon-1835-1902-a-memoir-h-festing-jones,samuel-butler-author-of-erewhon-1835-1902-a-memoir-h-festing-jones,"Samuel Butler, Author Of Erewhon (1835-1902) - A Memoir",H. Festing Jones,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1919,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-the-education-of-henry-adams-henry-adams-pulitzer-prize-in-biography-or-autobiography-1919-finalist,book-the-education-of-henry-adams-henry-adams,the-education-of-henry-adams-henry-adams,The Education of Henry Adams,Henry Adams,1918,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1919,finalist,finalist,false,Memoir & Autobiography,,,9798756501209,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-lord-grey-of-the-reform-bill-g-m-trevelyan-james-tait-black-prizes-biography-1920-winner,book-lord-grey-of-the-reform-bill-g-m-trevelyan,lord-grey-of-the-reform-bill-g-m-trevelyan,Lord Grey Of The Reform Bill,G. M. Trevelyan,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1920,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-the-life-of-john-marshall-4-vols-albert-j-beveridge-pulitzer-prize-in-biography-or-autobiography-1920-finalist,book-the-life-of-john-marshall-4-vols-albert-j-beveridge,the-life-of-john-marshall-4-vols-albert-j-beveridge,"The Life of John Marshall, 4 vols.",Albert J. Beveridge,1919,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1920,finalist,finalist,false,Biography,Houghton Mifflin Harcourt,Houghton Mifflin,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-the-war-with-mexico-justin-h-smith-pulitzer-prize-in-history-1920-finalist,book-the-war-with-mexico-justin-h-smith,the-war-with-mexico-justin-h-smith,The War with Mexico,Justin H. Smith,,award-pulitzer-prize-in-history,Pulitzer Prize,History,1920,finalist,finalist,false,American History,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-queen-victoria-lytton-strachey-james-tait-black-prizes-biography-1921-winner,book-queen-victoria-lytton-strachey,queen-victoria-lytton-strachey,Queen Victoria,Lytton Strachey,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1921,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-the-americanization-of-edward-bok-the-autobiography-of-a-dutch-boy-fifty-years-after-edward-bok-pulitzer-prize-in-biography-or-autobiography-1921-finalist,book-the-americanization-of-edward-bok-the-autobiography-of-a-dutch-boy-fifty-years-after-edward-bok,the-americanization-of-edward-bok-the-autobiography-of-a-dutch-boy-fifty-years-after-edward-bok,The Americanization of Edward Bok: The Autobiography of a Dutch Boy Fifty Years After,Edward Bok,,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1921,finalist,finalist,false,Memoir & Autobiography,,,9781534977532,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-the-victory-at-sea-william-sowden-sims-and-burton-j-hendrick-pulitzer-prize-in-history-1921-finalist,book-the-victory-at-sea-william-sowden-sims-and-burton-j-hendrick,the-victory-at-sea-william-sowden-sims-and-burton-j-hendrick,The Victory at Sea,William Sowden Sims; Burton J. Hendrick,,award-pulitzer-prize-in-history,Pulitzer Prize,History,1921,finalist,finalist,false,American History,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-earlham-percy-lubbock-james-tait-black-prizes-biography-1922-winner,book-earlham-percy-lubbock,earlham-percy-lubbock,Earlham,Percy Lubbock,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1922,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-a-daughter-of-the-middle-border-hamlin-garland-pulitzer-prize-in-biography-or-autobiography-1922-finalist,book-a-daughter-of-the-middle-border-hamlin-garland,a-daughter-of-the-middle-border-hamlin-garland,A Daughter of the Middle Border,Hamlin Garland,1921,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1922,finalist,finalist,false,Memoir & Autobiography,,,9781374868083,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-the-founding-of-new-england-james-truslow-adams-pulitzer-prize-in-history-1922-finalist,book-the-founding-of-new-england-james-truslow-adams,the-founding-of-new-england-james-truslow-adams,The Founding of New England,James Truslow Adams,1921,award-pulitzer-prize-in-history,Pulitzer Prize,History,1922,finalist,finalist,false,American History,,,9781428637528,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-the-mandatory-system-its-historical-background-and-relation-to-the-new-imperialism-walter-batsel-american-historical-association-book-prizes-aha-prize-in-european-international-history-1923-winner,book-the-mandatory-system-its-historical-background-and-relation-to-the-new-imperialism-walter-batsel,the-mandatory-system-its-historical-background-and-relation-to-the-new-imperialism-walter-batsel,The Mandatory System: Its Historical Background and Relation to the New Imperialism,Walter Batsell,,award-american-historical-association-book-prizes-aha-prize-in-european-international-history,American Historical Association Book Prizes,AHA Prize in European International History,1923,winner,winner,false,History,Macmillan,Macmillan,,https://www.historians.org/award-grant/aha-prize-in-european-international-history/,official
appearance-turkey-the-great-powers-and-the-bagdad-railway-edward-earle-american-historical-association-book-prizes-aha-prize-in-european-international-history-1923-winner,book-turkey-the-great-powers-and-the-bagdad-railway-edward-earle,turkey-the-great-powers-and-the-bagdad-railway-edward-earle,"Turkey, the Great Powers, and the Bagdad Railway",Edward Earle,,award-american-historical-association-book-prizes-aha-prize-in-european-international-history,American Historical Association Book Prizes,AHA Prize in European International History,1923,winner,winner,false,World History,Macmillan,Macmillan,9780342853663,https://www.historians.org/award-grant/aha-prize-in-european-international-history/,official
appearance-memoirs-etc-sir-ronald-ross-james-tait-black-prizes-biography-1923-winner,book-memoirs-etc-sir-ronald-ross,memoirs-etc-sir-ronald-ross,"Memoirs, Etc",Sir Ronald Ross,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1923,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-the-life-and-letters-of-walter-h-page-burton-j-hendrick-pulitzer-prize-in-biography-or-autobiography-1923-finalist,book-the-life-and-letters-of-walter-h-page-burton-j-hendrick,the-life-and-letters-of-walter-h-page-burton-j-hendrick,The Life and Letters of Walter H. Page,Burton J. Hendrick,1922,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1923,finalist,finalist,false,Biography,,,9781421966618,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-the-supreme-court-in-united-states-history-charles-warren-pulitzer-prize-in-history-1923-finalist,book-the-supreme-court-in-united-states-history-charles-warren,the-supreme-court-in-united-states-history-charles-warren,The Supreme Court in United States History,Charles Warren,,award-pulitzer-prize-in-history,Pulitzer Prize,History,1923,finalist,finalist,false,History,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-the-foreign-policies-of-soviet-russia-alfred-dennis-american-historical-association-book-prizes-aha-prize-in-european-international-history-1924-winner,book-the-foreign-policies-of-soviet-russia-alfred-dennis,the-foreign-policies-of-soviet-russia-alfred-dennis,The Foreign Policies of Soviet Russia,Alfred Dennis,1924,award-american-historical-association-book-prizes-aha-prize-in-european-international-history,American Historical Association Book Prizes,AHA Prize in European International History,1924,winner,winner,false,World History,Penguin Random House,Dutton,,https://www.historians.org/award-grant/aha-prize-in-european-international-history/,official
appearance-the-house-of-airlie-rev-william-wilson-james-tait-black-prizes-biography-1924-winner,book-the-house-of-airlie-rev-william-wilson,the-house-of-airlie-rev-william-wilson,The House Of Airlie,Rev. William Wilson,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1924,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-from-immigrant-to-inventor-michael-i-pupin-pulitzer-prize-in-biography-or-autobiography-1924-finalist,book-from-immigrant-to-inventor-michael-i-pupin,from-immigrant-to-inventor-michael-i-pupin,From Immigrant to Inventor,Michael I. Pupin,1923,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1924,finalist,finalist,false,Biography,,,9780766143647,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-the-american-revolution-a-constitutional-interpretation-charles-howard-mcilwain-pulitzer-prize-in-history-1924-finalist,book-the-american-revolution-a-constitutional-interpretation-charles-howard-mcilwain,the-american-revolution-a-constitutional-interpretation-charles-howard-mcilwain,The American Revolution: A Constitutional Interpretation,Charles Howard McIlwain,1923,award-pulitzer-prize-in-history,Pulitzer Prize,History,1924,finalist,finalist,false,American History,Macmillan,Macmillan,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-southern-albania-or-northern-epirus-in-european-international-affairs-1912-23-edith-stickney-american-historical-association-book-prizes-aha-prize-in-european-international-history-1925-winner,book-southern-albania-or-northern-epirus-in-european-international-affairs-1912-23-edith-stickney,southern-albania-or-northern-epirus-in-european-international-affairs-1912-23-edith-stickney,"Southern Albania or Northern Epirus in European International Affairs, 1912-23",Edith Stickney,,award-american-historical-association-book-prizes-aha-prize-in-european-international-history,American Historical Association Book Prizes,AHA Prize in European International History,1925,winner,winner,false,World History,Stanford University Press,Stanford University Press,,https://www.historians.org/award-grant/aha-prize-in-european-international-history/,official
appearance-the-portrait-of-zelide-geoffrey-scott-james-tait-black-prizes-biography-1925-winner,book-the-portrait-of-zelide-geoffrey-scott,the-portrait-of-zelide-geoffrey-scott,The Portrait Of Zelide,Geoffrey Scott,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1925,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-barrett-wendell-and-his-letters-m-a-de-wolfe-howe-pulitzer-prize-in-biography-or-autobiography-1925-finalist,book-barrett-wendell-and-his-letters-m-a-de-wolfe-howe,barrett-wendell-and-his-letters-m-a-de-wolfe-howe,Barrett Wendell and His Letters,M. A. De Wolfe Howe,,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1925,finalist,finalist,false,Biography,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-history-of-the-american-frontier-frederic-l-paxson-pulitzer-prize-in-history-1925-finalist,book-history-of-the-american-frontier-frederic-l-paxson,history-of-the-american-frontier-frederic-l-paxson,History of the American Frontier,Frederic L. Paxson,1924,award-pulitzer-prize-in-history,Pulitzer Prize,History,1925,finalist,finalist,false,American History,,,9780877971948,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-john-wyclif-a-study-of-the-english-medieval-church-rev-dr-h-b-workman-james-tait-black-prizes-biography-1926-winner,book-john-wyclif-a-study-of-the-english-medieval-church-rev-dr-h-b-workman,john-wyclif-a-study-of-the-english-medieval-church-rev-dr-h-b-workman,John Wyclif: A Study Of The English Medieval Church,Rev. Dr H. B. Workman,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1926,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-pheasants-of-the-world-william-beebe-john-burroughs-medal-1926-winner,book-pheasants-of-the-world-william-beebe,pheasants-of-the-world-william-beebe,Pheasants of the World,William Beebe,,award-john-burroughs-medal,John Burroughs Medal,John Burroughs Medal,1926,winner,winner,false,World History,,,,https://en.wikipedia.org/wiki/John_Burroughs_Medal,secondary
appearance-the-life-of-sir-william-osler-2-vols-harvey-cushing-pulitzer-prize-in-biography-or-autobiography-1926-finalist,book-the-life-of-sir-william-osler-2-vols-harvey-cushing,the-life-of-sir-william-osler-2-vols-harvey-cushing,"The Life of Sir William Osler, 2 vols.",Harvey Cushing,,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1926,finalist,finalist,false,Biography,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-a-history-of-the-united-states-vol-vi-the-war-for-southern-independence-1849-1865-edward-channin-pulitzer-prize-in-history-1926-finalist,book-a-history-of-the-united-states-vol-vi-the-war-for-southern-independence-1849-1865-edward-channin,a-history-of-the-united-states-vol-vi-the-war-for-southern-independence-1849-1865-edward-channin,"A History of the United States, Vol. VI: The War for Southern Independence (1849–1865)",Edward Channing,,award-pulitzer-prize-in-history,Pulitzer Prize,History,1926,finalist,finalist,false,American History,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-james-bryce-viscount-bryce-of-dechmont-o-m-h-a-l-fisher-james-tait-black-prizes-biography-1927-winner,book-james-bryce-viscount-bryce-of-dechmont-o-m-h-a-l-fisher,james-bryce-viscount-bryce-of-dechmont-o-m-h-a-l-fisher,"James Bryce, Viscount Bryce Of Dechmont, O.M.",H. A. L. Fisher,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1927,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-lives-of-game-animals-ernest-thompson-seton-john-burroughs-medal-1927-winner,book-lives-of-game-animals-ernest-thompson-seton,lives-of-game-animals-ernest-thompson-seton,Lives of Game Animals,Ernest Thompson Seton,,award-john-burroughs-medal,John Burroughs Medal,John Burroughs Medal,1927,winner,winner,false,Nature & Environment,,,,https://en.wikipedia.org/wiki/John_Burroughs_Medal,secondary
appearance-whitman-emory-holloway-pulitzer-prize-in-biography-or-autobiography-1927-finalist,book-whitman-emory-holloway,whitman-emory-holloway,Whitman,Emory Holloway,,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1927,finalist,finalist,false,Biography,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-pinckney-s-treaty-samuel-flagg-bemis-pulitzer-prize-in-history-1927-finalist,book-pinckney-s-treaty-samuel-flagg-bemis,pinckney-s-treaty-samuel-flagg-bemis,Pinckney's Treaty,Samuel Flagg Bemis,,award-pulitzer-prize-in-history,Pulitzer Prize,History,1927,finalist,finalist,false,American History,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-the-origins-of-the-world-war-2-vols-sidney-fay-american-historical-association-book-prizes-aha-prize-in-european-international-history-1928-winner,book-the-origins-of-the-world-war-2-vols-sidney-fay,the-origins-of-the-world-war-2-vols-sidney-fay,"The Origins of the World War, 2 vols.",Sidney Fay,,award-american-historical-association-book-prizes-aha-prize-in-european-international-history,American Historical Association Book Prizes,AHA Prize in European International History,1928,winner,winner,false,History,Macmillan,Macmillan,,https://www.historians.org/award-grant/aha-prize-in-european-international-history/,official
appearance-montrose-john-buchan-james-tait-black-prizes-biography-1928-winner,book-montrose-john-buchan,montrose-john-buchan,Montrose,John Buchan,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1928,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-the-american-orchestra-and-theodore-thomas-charles-edward-russell-pulitzer-prize-in-biography-or-autobiography-1928-finalist,book-the-american-orchestra-and-theodore-thomas-charles-edward-russell,the-american-orchestra-and-theodore-thomas-charles-edward-russell,The American Orchestra and Theodore Thomas,Charles Edward Russell,1927,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1928,finalist,finalist,false,Biography,Greenwood Publishing Group,Greenwood Press,9780837157627,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-main-currents-in-american-thought-vernon-louis-parrington-pulitzer-prize-in-history-1928-finalist,book-main-currents-in-american-thought-vernon-louis-parrington,main-currents-in-american-thought-vernon-louis-parrington,Main Currents in American Thought,Vernon Louis Parrington,1927,award-pulitzer-prize-in-history,Pulitzer Prize,History,1928,finalist,finalist,false,American History,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-fashoda-the-incident-and-its-diplomatic-setting-morrison-giffen-american-historical-association-book-prizes-aha-prize-in-european-international-history-1929-winner,book-fashoda-the-incident-and-its-diplomatic-setting-morrison-giffen,fashoda-the-incident-and-its-diplomatic-setting-morrison-giffen,Fashoda: The Incident and Its Diplomatic Setting,Morrison Giffen,1930,award-american-historical-association-book-prizes-aha-prize-in-european-international-history,American Historical Association Book Prizes,AHA Prize in European International History,1929,winner,winner,false,History,University of Chicago Press,University of Chicago Press,,https://www.historians.org/award-grant/aha-prize-in-european-international-history/,official
appearance-the-stricken-deer-or-the-life-of-cowper-lord-david-cecil-james-tait-black-prizes-biography-1929-winner,book-the-stricken-deer-or-the-life-of-cowper-lord-david-cecil,the-stricken-deer-or-the-life-of-cowper-lord-david-cecil,The Stricken Deer: Or The Life Of Cowper,Lord David Cecil,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1929,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-handbook-of-birds-of-eastern-north-america-frank-m-chapman-john-burroughs-medal-1929-winner,book-handbook-of-birds-of-eastern-north-america-frank-m-chapman,handbook-of-birds-of-eastern-north-america-frank-m-chapman,Handbook of Birds of Eastern North America,Frank M. Chapman,,award-john-burroughs-medal,John Burroughs Medal,John Burroughs Medal,1929,winner,winner,false,Arts & Criticism,,,,https://en.wikipedia.org/wiki/John_Burroughs_Medal,secondary
appearance-the-training-of-an-american-the-earlier-life-and-letters-of-walter-h-page-burton-j-hendrick-pulitzer-prize-in-biography-or-autobiography-1929-finalist,book-the-training-of-an-american-the-earlier-life-and-letters-of-walter-h-page-burton-j-hendrick,the-training-of-an-american-the-earlier-life-and-letters-of-walter-h-page-burton-j-hendrick,The Training of an American: The Earlier Life and Letters of Walter H. Page,Burton J. Hendrick,,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1929,finalist,finalist,false,Biography,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-the-organization-and-administration-of-the-union-army-1861-1865-fred-albert-shannon-pulitzer-prize-in-history-1929-finalist,book-the-organization-and-administration-of-the-union-army-1861-1865-fred-albert-shannon,the-organization-and-administration-of-the-union-army-1861-1865-fred-albert-shannon,"The Organization and Administration of the Union Army, 1861–1865",Fred Albert Shannon,,award-pulitzer-prize-in-history,Pulitzer Prize,History,1929,finalist,finalist,false,American History,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-the-coming-of-the-war-2-vols-bernadotte-schmitt-american-historical-association-book-prizes-aha-prize-in-european-international-history-1930-winner,book-the-coming-of-the-war-2-vols-bernadotte-schmitt,the-coming-of-the-war-2-vols-bernadotte-schmitt,"The Coming of the War, 2 vols.",Bernadotte Schmitt,,award-american-historical-association-book-prizes-aha-prize-in-european-international-history,American Historical Association Book Prizes,AHA Prize in European International History,1930,winner,winner,false,History,Simon & Schuster,Scribner,,https://www.historians.org/award-grant/aha-prize-in-european-international-history/,official
appearance-lives-of-a-bengal-lancer-francis-yeats-brown-james-tait-black-prizes-biography-1930-winner,book-lives-of-a-bengal-lancer-francis-yeats-brown,lives-of-a-bengal-lancer-francis-yeats-brown,Lives Of A Bengal Lancer,Francis Yeats Brown,1930,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1930,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-peace-in-the-heart-archibald-rutledge-john-burroughs-medal-1930-winner,book-peace-in-the-heart-archibald-rutledge,peace-in-the-heart-archibald-rutledge,Peace in the Heart,Archibald Rutledge,,award-john-burroughs-medal,John Burroughs Medal,John Burroughs Medal,1930,winner,winner,false,Arts & Criticism,,,,https://en.wikipedia.org/wiki/John_Burroughs_Medal,secondary
appearance-the-raven-a-biography-of-sam-houston-marquis-james-pulitzer-prize-in-biography-or-autobiography-1930-finalist,book-the-raven-a-biography-of-sam-houston-marquis-james,the-raven-a-biography-of-sam-houston-marquis-james,The Raven: A Biography of Sam Houston,Marquis James,,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1930,finalist,finalist,false,Biography,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-the-war-of-independence-claude-h-van-tyne-pulitzer-prize-in-history-1930-finalist,book-the-war-of-independence-claude-h-van-tyne,the-war-of-independence-claude-h-van-tyne,The War of Independence,Claude H. Van Tyne,,award-pulitzer-prize-in-history,Pulitzer Prize,History,1930,finalist,finalist,false,American History,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-germany-and-the-diplomatic-revolution-a-study-in-diplomacy-and-the-press-1904-06-oron-hale-american-historical-association-book-prizes-aha-prize-in-european-international-history-1931-winner,book-germany-and-the-diplomatic-revolution-a-study-in-diplomacy-and-the-press-1904-06-oron-hale,germany-and-the-diplomatic-revolution-a-study-in-diplomacy-and-the-press-1904-06-oron-hale,"Germany and the Diplomatic Revolution: A Study in Diplomacy and the Press, 1904-06",Oron Hale,,award-american-historical-association-book-prizes-aha-prize-in-european-international-history,American Historical Association Book Prizes,AHA Prize in European International History,1931,winner,winner,false,World History,University of Pennsylvania Press,University of Pennsylvania Press,9781512812060,https://www.historians.org/award-grant/aha-prize-in-european-international-history/,official
appearance-david-hume-j-y-r-greig-james-tait-black-prizes-biography-1931-winner,book-david-hume-j-y-r-greig,david-hume-j-y-r-greig,David Hume,J. Y. R. Greig,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1931,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-charles-w-eliot-president-of-harvard-university-1869-1901-henry-james-pulitzer-prize-in-biography-or-autobiography-1931-finalist,book-charles-w-eliot-president-of-harvard-university-1869-1901-henry-james,charles-w-eliot-president-of-harvard-university-1869-1901-henry-james,"Charles W. Eliot, President of Harvard University, 1869–1901",Henry James,,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1931,finalist,finalist,false,Biography,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-the-coming-of-the-war-1914-bernadotte-e-schmitt-pulitzer-prize-in-history-1931-finalist,book-the-coming-of-the-war-1914-bernadotte-e-schmitt,the-coming-of-the-war-1914-bernadotte-e-schmitt,"The Coming of the War, 1914",Bernadotte E. Schmitt,,award-pulitzer-prize-in-history,Pulitzer Prize,History,1931,finalist,finalist,false,History,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-austro-german-diplomatic-relations-1908-14-oswald-wedel-american-historical-association-book-prizes-aha-prize-in-european-international-history-1932-winner,book-austro-german-diplomatic-relations-1908-14-oswald-wedel,austro-german-diplomatic-relations-1908-14-oswald-wedel,"Austro-German Diplomatic Relations, 1908-14",Oswald Wedel,,award-american-historical-association-book-prizes-aha-prize-in-european-international-history,American Historical Association Book Prizes,AHA Prize in European International History,1932,winner,winner,false,Politics & Government,Stanford University Press,Stanford University Press,,https://www.historians.org/award-grant/aha-prize-in-european-international-history/,official
appearance-the-life-of-mary-kingsley-stephen-gwynn-james-tait-black-prizes-biography-1932-winner,book-the-life-of-mary-kingsley-stephen-gwynn,the-life-of-mary-kingsley-stephen-gwynn,The Life Of Mary Kingsley,Stephen Gwynn,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1932,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-a-canyon-voyage-a-narrative-of-the-second-powell-expedition-frederick-s-dellenbaugh-john-burroughs-medal-1932-winner,book-a-canyon-voyage-a-narrative-of-the-second-powell-expedition-frederick-s-dellenbaugh,a-canyon-voyage-a-narrative-of-the-second-powell-expedition-frederick-s-dellenbaugh,A Canyon Voyage: A Narrative of the Second Powell Expedition,Frederick S. Dellenbaugh,,award-john-burroughs-medal,John Burroughs Medal,John Burroughs Medal,1932,winner,winner,false,Nature & Environment,,,9798652882426,https://en.wikipedia.org/wiki/John_Burroughs_Medal,secondary
appearance-theodore-roosevelt-a-biography-henry-f-pringle-pulitzer-prize-in-biography-or-autobiography-1932-finalist,book-theodore-roosevelt-a-biography-henry-f-pringle,theodore-roosevelt-a-biography-henry-f-pringle,Theodore Roosevelt: A Biography,Henry F. Pringle,,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1932,finalist,finalist,false,Biography,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-my-experiences-in-the-world-war-john-j-pershing-pulitzer-prize-in-history-1932-finalist,book-my-experiences-in-the-world-war-john-j-pershing,my-experiences-in-the-world-war-john-j-pershing,My Experiences in the World War,John J. Pershing,1931,award-pulitzer-prize-in-history,Pulitzer Prize,History,1932,finalist,finalist,false,War & Military,,,9780830694075,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-china-s-foreign-relations-1917-31-robert-pollard-american-historical-association-book-prizes-aha-prize-in-european-international-history-1933-winner,book-china-s-foreign-relations-1917-31-robert-pollard,china-s-foreign-relations-1917-31-robert-pollard,"China’s Foreign Relations, 1917-31",Robert Pollard,,award-american-historical-association-book-prizes-aha-prize-in-european-international-history,American Historical Association Book Prizes,AHA Prize in European International History,1933,winner,winner,false,World History,Macmillan,Macmillan,,https://www.historians.org/award-grant/aha-prize-in-european-international-history/,official
